UNIT,ID,X,Y,Z,SUFFIX,Prism,code,CL,Length,Width
UNIT,15,60.164,66.178,1196.023,0,0.050000001,LITHIC,1a,24.5,13.4
UNIT,15,60.155,66.197,1196.012,1,0.050000001,LITHIC,1a,24.5,13.4
UNIT,20,59.783,65.926,1195.978,0,0.050000001,LITHIC,1a,50.4,41.5
UNIT,20,59.755,65.912,1195.955,1,0.050000001,LITHIC,1a,50.4,41.5
UNIT,25,59.73,65.694,1195.911,0,0.050000001,LITHIC,1a,30.9,19.1
UNIT,25,59.727,65.67,1195.896,1,0.050000001,LITHIC,1a,30.9,19.1
UNIT,50,60.726,64.512,1195.886,0,0.050000001,LITHIC,1a,49.7,26.7
UNIT,50,60.769,64.55,1195.898,1,0.050000001,LITHIC,1a,49.7,26.7
UNIT,51,60.601,64.352,1195.897,0,0.050000001,LITHIC,1a,46.7,35.5
UNIT,51,60.634,64.399,1195.902,1,0.050000001,LITHIC,1a,46.7,35.5
UNIT,61,61.476,63.165,1195.894,0,0.050000001,LITHIC,1a,63.7,44.8
UNIT,61,61.527,63.206,1195.898,1,0.050000001,LITHIC,1a,63.7,44.8
UNIT,63,61.707,61.826,1195.948,0,0.050000001,LITHIC,1a,45.9,31.3
UNIT,63,61.757,61.839,1195.948,1,0.050000001,LITHIC,1a,45.9,31.3
UNIT,65,61.895,59.549,1195.905,0,0.050000001,LITHIC,1a,23.6,17.3
UNIT,65,61.927,59.549,1195.892,1,0.050000001,LITHIC,1a,23.6,17.3
UNIT,80,59.585,64.774,1195.816,0,0,LITHIC,1a,49.9,37.9
UNIT,80,59.61,64.775,1195.839,1,0,LITHIC,1a,49.9,37.9
UNIT,100,61.113,62.538,1195.859,1,0,LITHIC,1a,39.6,61.0
UNIT,100,61.131,62.495,1195.863,0,0,LITHIC,1a,39.6,61.0
UNIT,102,61.296,62.401,1195.869,0,0,LITHIC,1a,47.6,32.0
UNIT,102,61.269,62.433,1195.878,1,0,LITHIC,1a,47.6,32.0
UNIT,105,61.452,62.662,1195.864,0,0,LITHIC,1a,37.1,22.5
UNIT,105,61.419,62.656,1195.855,1,0,LITHIC,1a,37.1,22.5
UNIT,106,61.45,62.592,1195.87,0,0,LITHIC,1a,52.4,44.6
UNIT,106,61.507,62.576,1195.86,1,0,LITHIC,1a,52.4,44.6
UNIT,125,61.838,60.41,1195.857,0,0,LITHIC,1a,35.9,15.2
UNIT,125,61.834,60.439,1195.858,1,0,LITHIC,1a,35.9,15.2
UNIT,131,61.587,59.957,1195.846,0,0,LITHIC,1a,34.7,25.8
UNIT,131,61.592,59.989,1195.845,1,0,LITHIC,1a,34.7,25.8
UNIT,138,61.78,59.252,1195.783,0,0.050000001,LITHIC,1a,91.4,48.4
