UNIT,ID,SUFFIX,X,Y,CL,code,Width,Prism,Z,Length
0,1,0,115.086,77.874,1,Lithic,5,0,1203.26624,56.74
0,1,1,115.13,77.89699999999999,1,Lithic,5,0,1203.2937,56.74
0,2,0,111.04299999999999,79.44800000000001,1,Lithic,5,0,1201.8228800000002,51.73
0,2,1,111.006,79.48100000000001,1,Lithic,5,0,1201.80811,51.73
0,3,0,113.50299999999999,78.484,1,Lithic,5,0,1202.3855,54.0
0,3,1,113.469,78.521,1,Lithic,5,0,1202.36572,54.0
0,4,0,106.70100000000001,75.52600000000001,1,Lithic,5,0,1201.69275,50.34
0,4,1,106.751,75.525,1,Lithic,5,0,1201.6870099999999,50.34
0,5,0,107.166,76.969,1,Lithic,5,0,1201.58032,50.18
0,5,1,107.211,76.99,1,Lithic,5,0,1201.57312,50.18
0,6,0,113.118,71.649,1,Lithic,5,0,1203.25793,50.57
0,6,1,113.09700000000001,71.695,1,Lithic,5,0,1203.25757,50.57
0,7,0,113.72,75.657,1,Lithic,5,0,1202.84155,51.21
0,7,1,113.72200000000001,75.707,1,Lithic,5,0,1202.85242,51.21
0,8,0,108.204,73.605,1,Lithic,5,0,1201.9082,50.45
0,8,1,108.25200000000001,73.59,1,Lithic,5,0,1201.9122300000001,50.45
0,9,0,107.132,76.101,1,Lithic,5,0,1201.62598,50.05
0,9,1,107.15100000000001,76.14699999999999,1,Lithic,5,0,1201.62073,50.05
0,10,0,112.693,79.296,1,Lithic,5,0,1201.96301,50.41
0,10,1,112.736,79.321,1,Lithic,5,0,1201.97119,50.41
0,11,0,107.354,70.794,1,Lithic,5,0,1202.79199,52.51
0,11,1,107.395,70.766,1,Lithic,5,0,1202.80908,52.51
0,12,0,112.71700000000001,79.163,1,Lithic,5,0,1201.95886,49.73
0,12,1,112.729,79.115,1,Lithic,5,0,1201.9638699999998,49.73
0,13,0,114.34200000000001,74.104,1,Lithic,5,0,1203.35193,52.35
0,13,1,114.294,74.089,1,Lithic,5,0,1203.3374,52.35
0,14,0,112.891,71.126,1,Lithic,5,0,1203.35547,102.18
0,14,1,112.89200000000001,71.176,1,Lithic,5,0,1203.2663599999998,102.18
0,15,0,111.43799999999999,78.098,1,Lithic,5,0,1202.02258,50.15
0,15,1,111.38799999999999,78.098,1,Lithic,5,0,1202.0186800000001,50.15
0,17,0,111.54700000000001,76.732,1,Lithic,5,0,1202.29919,52.74
0,17,1,111.55799999999999,76.683,1,Lithic,5,0,1202.2830800000002,52.74
0,18,0,110.44200000000001,78.095,1,Lithic,5,0,1202.7489,50.28
0,18,1,110.405,78.12899999999999,1,Lithic,5,0,1202.74719,50.28
0,19,0,110.314,76.986,1,Lithic,5,0,1202.3938,51.95
0,19,1,110.339,77.029,1,Lithic,5,0,1202.40881,51.95
0,20,0,110.88799999999999,74.514,1,Lithic,5,0,1202.39636,72.43
0,20,1,110.88,74.465,1,Lithic,5,0,1202.4491,72.43
0,21,0,114.37299999999999,73.578,1,Lithic,5,0,1203.24219,89.93
0,21,1,114.416,73.55199999999999,1,Lithic,5,0,1203.31677,89.93
0,22,0,113.866,71.887,1,Lithic,5,0,1203.79333,50.97
0,22,1,113.824,71.915,1,Lithic,5,0,1203.78625,50.97
0,23,0,106.90799999999999,78.809,1,Lithic,5,0,1201.48181,49.68
0,23,1,106.946,78.777,1,Lithic,5,0,1201.48218,49.68
0,24,0,109.447,71.581,1,Lithic,5,0,1202.474,63.95
0,24,1,109.49,71.607,1,Lithic,5,0,1202.43445,63.95
0,25,0,111.272,78.265,1,Lithic,5,0,1201.9542199999999,51.58
0,25,1,111.314,78.238,1,Lithic,5,0,1201.96716,51.58
0,26,0,110.427,74.968,1,Lithic,5,0,1202.03333,50.0
0,26,1,110.444,74.921,1,Lithic,5,0,1202.03467,50.0
0,27,0,108.68799999999999,71.687,1,Lithic,5,0,1202.62927,52.25
0,27,1,108.678,71.638,1,Lithic,5,0,1202.6141400000001,52.25
0,28,0,114.571,79.241,1,Lithic,5,0,1203.0942400000001,57.3
0,28,1,114.62100000000001,79.248,1,Lithic,5,0,1203.1213400000001,57.3
0,29,0,111.52600000000001,76.469,1,Lithic,5,0,1202.22791,49.78
0,29,1,111.54700000000001,76.514,1,Lithic,5,0,1202.2313199999999,49.78
0,30,0,111.76100000000001,78.732,1,Lithic,5,0,1201.9555699999999,51.6
0,30,1,111.80799999999999,78.715,1,Lithic,5,0,1201.94275,51.6
0,31,0,112.899,71.278,1,Lithic,5,0,1203.22034,53.82
0,31,1,112.949,71.277,1,Lithic,5,0,1203.24023,53.82
0,32,0,108.23899999999999,74.441,1,Lithic,5,0,1201.87329,69.29
0,32,1,108.28299999999999,74.464,1,Lithic,5,0,1201.92163,69.29
0,33,0,108.455,71.653,1,Lithic,5,0,1202.50037,50.12
0,33,1,108.43299999999999,71.69800000000001,1,Lithic,5,0,1202.49866,50.12
0,34,0,113.042,75.332,1,Lithic,5,0,1202.54114,54.75
0,34,1,113.086,75.355,1,Lithic,5,0,1202.56421,54.75
0,35,0,111.865,72.627,1,Lithic,5,0,1202.81628,49.85
0,35,1,111.906,72.655,1,Lithic,5,0,1202.8208,49.85
0,36,0,109.74,74.57,1,Lithic,5,0,1201.84216,65.93
0,36,1,109.77799999999999,74.538,1,Lithic,5,0,1201.8855,65.93
0,37,0,112.38,76.209,1,Lithic,5,0,1202.19458,51.86
0,37,1,112.412,76.247,1,Lithic,5,0,1202.20947,51.86
0,38,0,111.946,73.363,1,Lithic,5,0,1202.7019,49.81
0,38,1,111.927,73.317,1,Lithic,5,0,1202.69995,49.81
0,39,0,108.969,75.107,1,Lithic,5,0,1201.7655,52.41
0,39,1,109.01,75.13600000000001,1,Lithic,5,0,1201.7504900000001,52.41
0,40,0,111.296,71.175,1,Lithic,5,0,1202.76892,53.97
0,40,1,111.24600000000001,71.181,1,Lithic,5,0,1202.7495099999999,53.97
0,41,0,114.26700000000001,71.553,1,Lithic,5,0,1203.8687699999998,49.83
0,41,1,114.27600000000001,71.50399999999999,1,Lithic,5,0,1203.86975,49.83
0,42,0,109.05,74.12,1,Lithic,5,0,1201.8363,50.35
0,42,1,109.012,74.153,1,Lithic,5,0,1201.83765,50.35
0,43,0,112.789,78.167,1,Lithic,5,0,1202.08667,50.39
0,43,1,112.792,78.117,1,Lithic,5,0,1202.09216,50.39
0,44,0,113.18700000000001,73.229,1,Lithic,5,0,1202.96765,51.08
0,44,1,113.181,73.179,1,Lithic,5,0,1202.9762,51.08
0,45,0,111.279,75.583,1,Lithic,5,0,1202.59448,65.17
0,45,1,111.329,75.578,1,Lithic,5,0,1202.5529800000002,65.17
